,algorithm,k,silhouette,ch_score,db_score,labels,silhouette_norm,ch_score_norm,db_score_norm,composite_score
0,kmeans,2,0.2147607639685067,738.550434199483,1.904544202732144,[1 0 1 ... 1 1 1],1.0,1.0,0.6996728694664431,0.8998909564888145
1,kmeans,3,0.166299660690073,580.2725230280791,2.0243691622031386,[1 2 1 ... 1 1 1],0.6228642673786225,0.6329589015212661,0.4077672217777678,0.5545301302258855
2,kmeans,4,0.14082158217720622,507.4966046842898,1.9606888257172619,[2 1 0 ... 2 2 2],0.42458785277600536,0.4641940194602682,0.5628989234616918,0.48389359856598846
3,kmeans,5,0.15127549576865987,457.88436439463726,1.801530625017633,[2 3 2 ... 2 2 2],0.5059426733301623,0.34914491981562407,0.9506243010900103,0.6019039647452655
4,kmeans,6,0.1600333136891259,424.79198500755194,1.912536394815571,[3 1 4 ... 4 4 4],0.5740980774410185,0.2724048163380311,0.6802030860685211,0.5089019932825235
5,kmeans,7,0.16504306983145062,396.7258156438885,1.8278199833847784,[4 3 1 ... 6 6 6],0.6130851810183917,0.20732032313813356,0.8865807811475824,0.5689954284347025
6,agglomerative,2,0.13991066390234652,542.2955566682795,2.110433064667531,[0 0 1 ... 0 1 1],0.4174988719706448,0.5448916068088933,0.19810690307292644,0.3868324606174882
7,agglomerative,3,0.13208004071673132,471.90849511686554,2.19175438139983,[2 2 1 ... 2 1 1],0.3565591159147158,0.38166640248746525,0.0,0.24607517280072702
8,agglomerative,4,0.14149438403235015,393.198791916587,1.9739246298295379,[2 2 0 ... 2 0 0],0.4298237554563648,0.19914127494594855,0.5306551740030525,0.38654006813512193
9,agglomerative,5,0.08626298694379318,357.12689459533306,1.8675255748998267,[2 2 4 ... 2 1 1],0.0,0.11549177060881266,0.7898539684765732,0.30178191302846197
10,agglomerative,6,0.09231320845783846,326.7719368040322,1.7812622911652796,[0 0 4 ... 0 1 1],0.04708425043712355,0.045099654807327284,1.0,0.36406130174815027
11,agglomerative,7,0.09280047183247679,307.3237627792677,2.099811364056339,[0 2 4 ... 0 1 1],0.05087624891305533,0.0,0.22398243359806425,0.09161956083703986
